date,description,category,type,amount
2025-08-02,Top up pulsa Telkomsel,Bills & Utilities,expense,1689986
2025-09-17,Beli game di Steam,Entertainment,expense,766420
2024-10-30,Pendapatan proyek freelance,Salary,income,6561176
2025-05-17,Cek kesehatan di RS Hermina,Health & Medical,expense,1500782
2025-09-26,Langganan Spotify,Entertainment,expense,629805
2025-08-01,Langganan platform e-learning,Education,expense,4553695
2025-07-30,Langganan platform e-learning,Education,expense,2874878
2025-03-09,Langganan platform e-learning,Education,expense,2672140
2024-12-22,Cek kesehatan di RS Hermina,Health & Medical,expense,1562642
2024-12-22,Langganan Spotify,Entertainment,expense,798967
2025-01-28,Pembayaran dari klien,Business,income,4130331
2025-03-12,Biaya transfer antar bank,Other Expense,expense,389891
2025-08-23,Zakat bulanan,Gift & Donation,expense,306745
2025-03-22,Isi bensin di SPBU Pertamina,Transportation,expense,69633
2025-03-25,Beli buku pelajaran,Education,expense,218685
2024-12-25,Potongan layanan e-wallet,Other Expense,expense,153818
2025-08-01,Makan siang di warung padang,Food & Dining,expense,173163
2025-09-13,Penarikan tunai ATM,Other Expense,expense,465323
2024-10-28,Gaji bulanan PT Astra,Salary,income,14631199
2025-06-24,Beli vitamin di Guardian,Health & Medical,expense,973730
2024-11-17,Beli buku pelajaran,Education,expense,2217942
2024-11-24,Gaji bulanan PT Astra,Salary,income,11722755
2025-08-13,Gaji bulanan PT Astra,Salary,income,15560346
2025-01-07,Cashback e-wallet,Other Income,income,88222
2024-12-04,Donasi ke masjid,Gift & Donation,expense,270247
2025-05-23,Tiket KRL Bekasi-Jakarta,Transportation,expense,168942
2025-02-14,Zakat bulanan,Gift & Donation,expense,823373
2025-06-09,Komisi reseller,Business,income,7927625
2025-05-29,Konsultasi dokter umum,Health & Medical,expense,690428
2024-11-21,Zakat bulanan,Gift & Donation,expense,649244
2025-02-05,Biaya administrasi bank,Other Expense,expense,337950
2025-09-25,Langganan Spotify,Entertainment,expense,105131
2025-01-18,Beli sepatu di Tokopedia,Shopping,expense,4680446
2024-10-23,Isi bensin di SPBU Pertamina,Transportation,expense,117090
2025-06-19,Gaji lembur,Salary,income,9886520
2025-03-18,Pesan GoFood,Food & Dining,expense,168225
2024-11-27,Biaya transfer antar bank,Other Expense,expense,370387
2025-09-07,Langganan Spotify,Entertainment,expense,638439
2025-05-27,Bunga tabungan bank,Other Income,income,70175
2025-09-18,Pembayaran dari klien,Business,income,2999627
2024-11-27,Cek kesehatan di RS Hermina,Health & Medical,expense,175070
2025-08-22,Pesan gadget di Shopee,Shopping,expense,4824854
2024-12-24,Beli vitamin di Guardian,Health & Medical,expense,1032930
2025-10-15,Denda keterlambatan,Other Expense,expense,221030
2025-07-25,Konsultasi dokter umum,Health & Medical,expense,1085563
2025-08-24,Gaji bulanan PT Astra,Salary,income,5668752
2025-08-27,Langganan internet Indihome,Bills & Utilities,expense,625059
2025-02-16,Makan siang di warung padang,Food & Dining,expense,30876
2025-08-13,Penjualan barang bekas,Other Income,income,31092
2025-07-14,Beli jam tangan Casio,Shopping,expense,3759689
2025-08-17,Cek kesehatan di RS Hermina,Health & Medical,expense,964117
2024-12-07,Refund pembelian,Other Income,income,256420
2025-04-10,Langganan platform e-learning,Education,expense,2793231
2025-01-12,Cashback e-wallet,Other Income,income,182912
2025-03-18,Top up pulsa Telkomsel,Bills & Utilities,expense,1489538
2024-11-09,Bayar iuran keamanan,Bills & Utilities,expense,1053839
2025-02-28,Parkir di Mall,Transportation,expense,94744
2025-07-12,Bayar tol,Transportation,expense,226249
2025-06-15,Beli makanan di Indomaret,Food & Dining,expense,236660
2025-07-14,Pesan GoFood,Food & Dining,expense,209676
2025-09-07,Beli bunga untuk keluarga,Gift & Donation,expense,473513
2025-03-07,Pesan GoFood,Food & Dining,expense,88688
2025-10-14,Beli vitamin di Guardian,Health & Medical,expense,1066514
2025-09-09,Naik Gojek ke kantor,Transportation,expense,169612
2025-03-30,Beli tiket bioskop XXI,Entertainment,expense,597596
2025-05-18,Beli makanan di Indomaret,Food & Dining,expense,68868
2025-06-15,Langganan Netflix,Entertainment,expense,143172
2025-07-04,Bunga tabungan bank,Other Income,income,498978
2025-07-09,Denda keterlambatan,Other Expense,expense,379838
2025-06-26,Beli vitamin di Guardian,Health & Medical,expense,1040316
2025-07-31,Beli game di Steam,Entertainment,expense,171668
2025-08-24,Bayar air PDAM,Bills & Utilities,expense,1165858
2024-11-26,Penarikan tunai ATM,Other Expense,expense,154833
2025-07-08,Langganan internet Indihome,Bills & Utilities,expense,660301
2025-03-23,Kopi di Starbucks,Food & Dining,expense,276712
2025-07-24,Beli jam tangan Casio,Shopping,expense,4112950
2025-07-31,Les bahasa Inggris,Education,expense,4658621
2025-04-04,Top up pulsa Telkomsel,Bills & Utilities,expense,1923686
2025-08-10,Beli tiket bioskop XXI,Entertainment,expense,421574
2024-11-13,Beli game di Steam,Entertainment,expense,353632
2025-10-18,Biaya transfer antar bank,Other Expense,expense,488900
2025-09-26,Top up pulsa Telkomsel,Bills & Utilities,expense,1761769
2025-07-02,Bunga tabungan bank,Other Income,income,29408
2025-08-20,Belanja bulanan di Superindo,Shopping,expense,2834973
2024-12-12,Bayar tol,Transportation,expense,147874
2025-01-03,Gaji bulanan PT Astra,Salary,income,11878299
2024-11-29,Bunga tabungan bank,Other Income,income,256148
2025-09-06,Tes darah di klinik,Health & Medical,expense,1502706
2025-04-08,Bayar tagihan listrik PLN,Bills & Utilities,expense,1887489
2025-05-04,Pendapatan tambahan,Other Income,income,176021
2025-07-26,Refund pembelian,Other Income,income,28821
2025-02-19,Sumbangan ke panti asuhan,Gift & Donation,expense,671820
2025-02-15,Penjualan barang bekas,Other Income,income,401520
2024-12-11,Bayar tol,Transportation,expense,209326
2025-06-06,Cashback e-wallet,Other Income,income,97223
2024-11-05,Denda keterlambatan,Other Expense,expense,34112
2025-03-21,Bayar kursus online,Education,expense,3107008
2025-01-04,Langganan platform e-learning,Education,expense,2148476
2025-08-07,Komisi reseller,Business,income,3520853
2024-12-01,Beli sepatu di Tokopedia,Shopping,expense,3259014
2025-07-03,Hadiah ulang tahun untuk teman,Gift & Donation,expense,967170
2025-02-17,Hadiah ulang tahun untuk teman,Gift & Donation,expense,493550
2025-06-14,Penjualan barang bekas,Other Income,income,143864
2025-06-17,Cashback e-wallet,Other Income,income,482493
2025-01-10,Konsultasi dokter umum,Health & Medical,expense,204899
2025-08-18,Tunjangan transportasi,Salary,income,10018975
2025-10-10,Refund pembelian,Other Income,income,141123
2025-01-31,Tunjangan transportasi,Salary,income,11454081
2025-02-20,Gaji bulanan PT Astra,Salary,income,11398231
2025-08-12,Donasi ke masjid,Gift & Donation,expense,320244
2024-11-02,Denda keterlambatan,Other Expense,expense,445178
2025-03-11,Refund pembelian,Other Income,income,14245
2025-08-28,Sumbangan ke panti asuhan,Gift & Donation,expense,791369
2025-02-16,Tunjangan transportasi,Salary,income,15184860
2025-09-12,Beli buku pelajaran,Education,expense,1694942
2025-10-04,Donasi ke masjid,Gift & Donation,expense,802280
2025-09-08,Penarikan tunai ATM,Other Expense,expense,60941
2025-03-29,Cashback e-wallet,Other Income,income,423459
2025-08-14,Gaji bulanan PT Astra,Salary,income,11121355
2024-12-07,Penarikan tunai ATM,Other Expense,expense,486906
2025-05-22,Tes darah di klinik,Health & Medical,expense,418343
2025-07-25,Beli tiket bioskop XXI,Entertainment,expense,939035
2025-07-05,Bayar uang sekolah anak,Education,expense,2386125
2025-06-25,Pesan gadget di Shopee,Shopping,expense,2525825
2024-12-19,Denda keterlambatan,Other Expense,expense,255540
2025-02-14,Isi bensin di SPBU Pertamina,Transportation,expense,235480
2025-08-03,Refund pembelian,Other Income,income,201771
2024-10-29,Bayar tol,Transportation,expense,79326
2025-06-11,Pendapatan toko online,Business,income,6683841
2025-08-17,Penjualan barang bekas,Other Income,income,209767
2024-12-16,Penjualan barang bekas,Other Income,income,363808
2024-11-03,Beli game di Steam,Entertainment,expense,669641
2025-08-30,Hasil penjualan produk,Business,income,4213925
2025-09-12,Cashback e-wallet,Other Income,income,441937
2025-09-19,Tunjangan transportasi,Salary,income,11850067
2024-11-14,Isi bensin di SPBU Pertamina,Transportation,expense,19754
2024-12-20,Beli vitamin di Guardian,Health & Medical,expense,253826
2024-12-30,Nonton konser musik,Entertainment,expense,427524
2025-09-30,Tunjangan transportasi,Salary,income,17467822
2025-05-24,Potongan layanan e-wallet,Other Expense,expense,317935
2025-05-22,Penarikan tunai ATM,Other Expense,expense,353367
2025-09-02,Bayar tol,Transportation,expense,116985
2025-10-10,Beli obat di apotek,Health & Medical,expense,827057
2025-06-06,Beli game di Steam,Entertainment,expense,267582
2025-10-08,Bayar kursus online,Education,expense,3181428
2024-11-22,Hasil penjualan produk,Business,income,7179674
2024-12-23,Cek kesehatan di RS Hermina,Health & Medical,expense,1828454
2025-09-26,Gaji bulanan PT Astra,Salary,income,8558545
2024-11-01,Pendapatan tambahan,Other Income,income,36517
2024-12-25,Beli buku pelajaran,Education,expense,4836023
2025-08-01,Langganan Netflix,Entertainment,expense,237220
2025-02-18,Hadiah ulang tahun untuk teman,Gift & Donation,expense,354519
2024-10-23,Belanja bulanan di Superindo,Shopping,expense,2375949
2025-07-25,Beli sepatu di Tokopedia,Shopping,expense,2152639
2025-09-25,Belanja pakaian di Uniqlo,Shopping,expense,266259
2025-04-23,Belanja pakaian di Uniqlo,Shopping,expense,2045914
2024-10-30,Donasi ke masjid,Gift & Donation,expense,192710
2024-12-25,Beli obat di apotek,Health & Medical,expense,1605495
2024-12-19,Bayar iuran keamanan,Bills & Utilities,expense,1663773
2025-06-08,Bayar tol,Transportation,expense,213952
2025-08-21,Bayar uang sekolah anak,Education,expense,1014811
2025-02-12,Gaji lembur,Salary,income,15319780
2025-03-25,Beli makanan di Indomaret,Food & Dining,expense,260146
2024-11-22,Cashback e-wallet,Other Income,income,261124
2025-10-08,Top up pulsa Telkomsel,Bills & Utilities,expense,326412
2024-11-28,Pendapatan proyek freelance,Salary,income,6355439
2025-01-05,Bayar uang sekolah anak,Education,expense,650982
2025-09-06,Pesan gadget di Shopee,Shopping,expense,4960394
2025-05-05,Hasil penjualan produk,Business,income,9401266
2025-07-07,Beli vitamin di Guardian,Health & Medical,expense,1319672
2025-10-16,Bayar tagihan listrik PLN,Bills & Utilities,expense,339943
2025-02-09,Pendapatan tambahan,Other Income,income,235480
2025-05-21,Bonus tahunan,Salary,income,10686328
2025-05-22,Pendapatan proyek freelance,Salary,income,17240866
2025-05-28,Parkir di Mall,Transportation,expense,91926
2025-05-01,Penjualan barang bekas,Other Income,income,90026
2024-11-25,Refund pembelian,Other Income,income,57828
2025-05-31,Naik Gojek ke kantor,Transportation,expense,35313
2024-12-27,Denda keterlambatan,Other Expense,expense,301698
2025-08-05,Beli makanan di Indomaret,Food & Dining,expense,192829
2025-05-20,Cashback e-wallet,Other Income,income,195387
2024-11-17,Refund pembelian,Other Income,income,160800
2025-04-20,Donasi ke masjid,Gift & Donation,expense,118633
2025-02-07,Zakat bulanan,Gift & Donation,expense,172246
2025-02-13,Refund pembelian,Other Income,income,454216
2025-08-02,Parkir di Mall,Transportation,expense,106353
2025-08-11,Parkir di Mall,Transportation,expense,69286
2025-09-05,Bayar iuran keamanan,Bills & Utilities,expense,1386756
2024-11-04,Pendapatan tambahan,Other Income,income,329288
2024-11-05,Penjualan barang bekas,Other Income,income,104589
2025-04-13,Tes darah di klinik,Health & Medical,expense,786149
2025-01-03,Pesan GoFood,Food & Dining,expense,230126
2025-09-11,Isi bensin di SPBU Pertamina,Transportation,expense,18036
2025-02-09,Tiket KRL Bekasi-Jakarta,Transportation,expense,108617
2025-04-14,Top up pulsa Telkomsel,Bills & Utilities,expense,430111
2025-04-06,Les bahasa Inggris,Education,expense,4861319
2024-11-17,Sumbangan ke panti asuhan,Gift & Donation,expense,173137
2024-11-16,Belanja bulanan di Superindo,Shopping,expense,734355
2025-09-25,Beli vitamin di Guardian,Health & Medical,expense,939223
2025-06-05,Gaji lembur,Salary,income,11948850
2025-07-11,Cek kesehatan di RS Hermina,Health & Medical,expense,288692
2024-12-17,Langganan platform e-learning,Education,expense,2476043
2025-06-28,Pendapatan tambahan,Other Income,income,286265
2024-11-14,Penjualan barang bekas,Other Income,income,125615
2024-11-19,Bayar iuran keamanan,Bills & Utilities,expense,116120
2025-02-07,Langganan Spotify,Entertainment,expense,824624
2025-03-19,Pesan gadget di Shopee,Shopping,expense,2802489
2025-07-03,Naik Gojek ke kantor,Transportation,expense,205825
2024-12-27,Bayar air PDAM,Bills & Utilities,expense,897352
2025-07-05,Pembayaran dari klien,Business,income,9873825
2024-11-27,Penjualan barang bekas,Other Income,income,218179
2025-06-02,Biaya administrasi bank,Other Expense,expense,19825
2025-03-31,Gaji bulanan PT Astra,Salary,income,14659635
2025-05-17,Bayar iuran keamanan,Bills & Utilities,expense,1587927
2025-03-19,Refund pembelian,Other Income,income,70384
2025-04-06,Bayar tagihan listrik PLN,Bills & Utilities,expense,460444
2025-10-10,Beli bunga untuk keluarga,Gift & Donation,expense,974448
2025-06-02,Bayar kursus online,Education,expense,988044
2025-08-19,Beli game di Steam,Entertainment,expense,439902
2025-05-12,Pendapatan toko online,Business,income,5705543
2025-02-12,Denda keterlambatan,Other Expense,expense,184623
2025-07-10,Belanja pakaian di Uniqlo,Shopping,expense,1006524
2025-01-29,Pemasukan usaha kecil,Business,income,6361544
2025-02-19,Beli buku pelajaran,Education,expense,962386
2025-01-31,Pesan gadget di Shopee,Shopping,expense,1505415
2025-09-22,Hadiah ulang tahun untuk teman,Gift & Donation,expense,89013
2025-06-16,Beli jam tangan Casio,Shopping,expense,4778955
2025-10-05,Beli bunga untuk keluarga,Gift & Donation,expense,979045
2025-04-05,Zakat bulanan,Gift & Donation,expense,916228
2025-01-07,Penjualan barang bekas,Other Income,income,240562
2025-06-05,Bayar tol,Transportation,expense,175513
2025-08-20,Tes darah di klinik,Health & Medical,expense,167801
2024-11-28,Bayar uang sekolah anak,Education,expense,2703889
2024-11-10,Pendapatan proyek freelance,Salary,income,5954456
2024-11-30,Les bahasa Inggris,Education,expense,857461
2025-07-08,Zakat bulanan,Gift & Donation,expense,413159
2025-08-01,Gaji lembur,Salary,income,18284498
2025-06-09,Biaya administrasi bank,Other Expense,expense,486603
2025-04-04,Hadiah ulang tahun untuk teman,Gift & Donation,expense,644394
2025-01-07,Gaji lembur,Salary,income,6038068
2025-04-15,Gaji bulanan PT Astra,Salary,income,16984226
2025-09-17,Tiket KRL Bekasi-Jakarta,Transportation,expense,55235
2025-10-19,Pesan GoFood,Food & Dining,expense,249511
2025-07-16,Gaji lembur,Salary,income,15230837
2025-04-30,Pesan gadget di Shopee,Shopping,expense,2423083
2025-04-13,Top up pulsa Telkomsel,Bills & Utilities,expense,1523751
2025-09-10,Sumbangan ke panti asuhan,Gift & Donation,expense,688748
