date,description,category,type,amount
2025-08-24,Bayar tagihan listrik,Bills & Utilities,expense,275983
2024-10-22,Pembayaran dari klien,Business,income,3735509
2025-05-06,Langganan Skillshare,Education,expense,3118535
2025-02-18,Beli mainan anak di Gramedia,Shopping,expense,1850802
2025-06-11,Bayar iuran RT,Bills & Utilities,expense,688854
2025-06-07,Bayar air PAM,Bills & Utilities,expense,575462
2024-11-10,Tes darah di klinik,Health & Medical,expense,1549211
2025-06-18,Langganan Disney+,Entertainment,expense,843032
2024-12-12,Denda keterlambatan kartu kredit,Other Expense,expense,300301
2025-01-19,Biaya admin bank,Other Expense,expense,26415
2025-06-02,Langganan Disney+,Entertainment,expense,35483
2025-01-16,Isi bensin Pertalite,Transportation,expense,14117
2024-12-24,Langganan Netflix Premium,Entertainment,expense,98136
2024-10-31,Isi bensin Pertalite,Transportation,expense,199597
2025-05-01,Konsultasi dokter gigi,Health & Medical,expense,415163
2025-08-24,Pendapatan dari freelance,Salary,income,5786967
2025-06-19,Bayar air PAM,Bills & Utilities,expense,510918
2025-04-04,Komisi reseller,Business,income,1778339
2025-10-09,Beli buku pelajaran,Education,expense,2708731
2025-08-24,Refund tiket pesawat,Other Income,income,32392
2025-09-30,Bunga deposito bank,Other Income,income,115130
2025-07-31,Ngopi bareng teman di KFC,Food & Dining,expense,185773
2025-08-31,Denda keterlambatan kartu kredit,Other Expense,expense,254935
2025-08-01,Parkir di kantor,Transportation,expense,119136
2024-12-24,Denda keterlambatan kartu kredit,Other Expense,expense,27666
2024-12-22,Beli skincare di Watsons,Shopping,expense,1582671
2025-01-17,Beli tiket bioskop XXI,Entertainment,expense,676653
2025-08-19,Bayar tagihan listrik,Bills & Utilities,expense,1894679
2025-02-22,Cek kesehatan rutin,Health & Medical,expense,488037
2024-10-31,Pemasukan dari usaha laundry,Business,income,7893398
2025-06-11,Pendapatan tambahan kecil,Other Income,income,334761
2025-02-28,Tes darah di klinik,Health & Medical,expense,1138465
2025-08-04,Bonus proyek akhir tahun,Salary,income,17927176
2025-07-24,Potongan layanan e-wallet,Other Expense,expense,190497
2025-07-11,Bonus proyek akhir tahun,Salary,income,15198707
2024-11-25,Naik Transjakarta,Transportation,expense,237628
2025-01-17,Cashback ShopeePay,Other Income,income,325767
2024-12-25,Beli game di Steam,Entertainment,expense,568869
2025-09-24,Zakat bulanan,Gift & Donation,expense,315225
2025-05-07,Makan malam di Solaria,Food & Dining,expense,117405
2025-08-24,Refund tiket pesawat,Other Income,income,37394
2025-01-31,Naik taksi Blue Bird,Transportation,expense,207543
2025-04-24,Penjualan produk handmade,Business,income,2726117
2025-04-18,Beli skincare di Watsons,Shopping,expense,4821237
2025-04-15,Bonus proyek akhir tahun,Salary,income,11250666
2025-02-06,Bunga deposito bank,Other Income,income,360253
2025-02-12,Konsultasi dokter gigi,Health & Medical,expense,1331711
2024-12-13,Pemasukan dari usaha laundry,Business,income,8594153
2024-12-25,Penarikan tunai ATM,Other Expense,expense,259445
2025-06-14,Konsultasi dokter gigi,Health & Medical,expense,1860534
2025-09-05,Beli laptop di Tokopedia,Shopping,expense,2601938
2025-06-14,Ngopi bareng teman di KFC,Food & Dining,expense,167014
2024-10-29,Makan malam di Solaria,Food & Dining,expense,218644
2025-07-23,Beli mainan anak di Gramedia,Shopping,expense,2333118
2025-01-01,Pendapatan toko online,Business,income,7028476
2025-08-28,Pemasukan dari usaha laundry,Business,income,3548222
2025-01-29,Penjualan produk handmade,Business,income,3118530
2024-12-13,Ngopi bareng teman di KFC,Food & Dining,expense,272627
2025-06-01,Naik taksi Blue Bird,Transportation,expense,89952
2025-05-14,Pendapatan tambahan kecil,Other Income,income,417286
2025-06-28,Beli bunga untuk ibu,Gift & Donation,expense,13090
2025-06-11,Sumbangan ke yayasan yatim,Gift & Donation,expense,616446
2025-04-28,Beli bunga untuk ibu,Gift & Donation,expense,266118
2024-12-13,Les privat matematika,Education,expense,307802
2025-01-12,Cashback ShopeePay,Other Income,income,401426
2025-08-06,Langganan Disney+,Entertainment,expense,238879
2025-06-23,Beli game di Steam,Entertainment,expense,847943
2025-02-10,Makan malam di Solaria,Food & Dining,expense,220693
2025-03-01,Penjualan barang bekas,Other Income,income,489361
2025-01-20,Biaya admin bank,Other Expense,expense,118198
2024-12-03,Sumbangan ke yayasan yatim,Gift & Donation,expense,410082
2025-06-02,Beli mainan anak di Gramedia,Shopping,expense,1279412
2025-05-28,Beli game di Steam,Entertainment,expense,955273
2024-12-03,Cek kesehatan rutin,Health & Medical,expense,1916742
2025-06-28,Parkir di kantor,Transportation,expense,47812
2024-11-30,Beli game di Steam,Entertainment,expense,92398
2025-07-11,Bayar air PAM,Bills & Utilities,expense,713110
2025-08-04,Bonus proyek akhir tahun,Salary,income,18313817
2025-08-18,Biaya transfer antar bank,Other Expense,expense,236357
2025-04-06,Beli bunga untuk ibu,Gift & Donation,expense,777902
2024-12-30,Beli skincare di Watsons,Shopping,expense,1985063
2025-06-16,Beli skincare di Watsons,Shopping,expense,4092583
2025-10-12,Konsultasi dokter gigi,Health & Medical,expense,846027
2025-09-04,Bayar kursus Python online,Education,expense,4418750
2025-06-30,Beli kopi di Janji Jiwa,Food & Dining,expense,292543
2024-11-01,Pendapatan tambahan kecil,Other Income,income,241867
2025-07-21,Penjualan barang bekas,Other Income,income,39947
2024-12-08,Bunga deposito bank,Other Income,income,241553
2025-06-24,Zakat bulanan,Gift & Donation,expense,29370
2024-11-29,Beli tiket bioskop XXI,Entertainment,expense,280223
2025-01-17,Komisi reseller,Business,income,2856757
2025-03-31,Bunga deposito bank,Other Income,income,210760
2025-10-13,Refund tiket pesawat,Other Income,income,43321
2025-09-11,Beli bunga untuk ibu,Gift & Donation,expense,512529
2025-05-21,Beli kopi di Janji Jiwa,Food & Dining,expense,231734
2024-10-27,Denda keterlambatan kartu kredit,Other Expense,expense,479732
2025-04-04,Bayar SPP anak,Education,expense,1735323
2024-12-23,Konsultasi dokter gigi,Health & Medical,expense,567116
2025-06-14,Tunjangan makan bulanan,Salary,income,11196609
2025-10-03,Zakat bulanan,Gift & Donation,expense,786728
2024-11-28,Belanja baju di Zara,Shopping,expense,4936055
2025-07-16,Pendapatan toko online,Business,income,5826114
2025-06-16,Penjualan produk handmade,Business,income,1106562
2025-06-20,Biaya admin bank,Other Expense,expense,107586
2025-09-11,Beli sepatu di Shopee,Shopping,expense,3209425
2025-01-28,Bayar kursus Python online,Education,expense,2358554
2025-08-09,Zakat bulanan,Gift & Donation,expense,618112
2024-11-08,Zakat bulanan,Gift & Donation,expense,221497
2025-07-04,Sumbangan ke yayasan yatim,Gift & Donation,expense,565827
2025-01-13,Beli laptop di Tokopedia,Shopping,expense,4036022
2025-06-21,Bayar kursus Python online,Education,expense,4295007
2025-10-21,Bayar tol Cikampek,Transportation,expense,167367
2025-01-04,Penarikan tunai ATM,Other Expense,expense,40653
2025-05-10,Pembayaran dari klien,Business,income,4344259
2024-12-30,Langganan Disney+,Entertainment,expense,691157
2025-03-02,Belanja baju di Zara,Shopping,expense,2392143
2025-01-31,Langganan Skillshare,Education,expense,3307234
2025-03-29,Komisi tambahan,Salary,income,6615069
2025-09-13,Komisi reseller,Business,income,1384158
2025-02-15,Refund tiket pesawat,Other Income,income,348549
2024-10-27,Beli sepatu di Shopee,Shopping,expense,50294
2025-05-31,Denda keterlambatan kartu kredit,Other Expense,expense,278865
2025-07-15,Makan malam di Solaria,Food & Dining,expense,248066
2025-02-16,Langganan internet Biznet,Bills & Utilities,expense,1710004
2025-04-16,Biaya admin bank,Other Expense,expense,312892
2025-09-02,Denda keterlambatan kartu kredit,Other Expense,expense,482644
2024-11-10,Belanja baju di Zara,Shopping,expense,4626512
2024-11-09,Langganan Skillshare,Education,expense,2842998
2025-03-02,Biaya transfer antar bank,Other Expense,expense,87707
2025-02-24,Biaya admin bank,Other Expense,expense,354189
2024-12-10,Makan malam di Solaria,Food & Dining,expense,298900
2025-06-02,Naik taksi Blue Bird,Transportation,expense,146714
2025-07-07,Parkir di kantor,Transportation,expense,35763
2025-01-09,Bonus proyek akhir tahun,Salary,income,17460620
2025-10-08,Beli sepatu di Shopee,Shopping,expense,908527
2025-03-03,Bayar SPP anak,Education,expense,3706169
2025-08-19,Naik Transjakarta,Transportation,expense,210093
2025-04-16,Bonus proyek akhir tahun,Salary,income,15777303
2025-08-17,Penarikan tunai ATM,Other Expense,expense,151241
2025-08-25,Gaji bulanan dari perusahaan,Salary,income,5240534
2024-11-11,Beli mainan anak di Gramedia,Shopping,expense,614935
2025-07-10,Langganan Disney+,Entertainment,expense,489344
2025-08-19,Pembayaran dari klien,Business,income,6936828
2025-01-20,Potongan layanan e-wallet,Other Expense,expense,113646
